Claim_ID,Return_Description,Text_Length,Urgency_Level,Customer_Type,Previous_Return_Count,Claim_Amount,Payment_Method,Image_Provided,Fraud_Label
96,Changed my mind,285,Medium,VIP,10,889.66,Credit Card,Yes,Fraud
97,Fake product received,87,Medium,VIP,7,251.64,Cash on Delivery,Yes,Legitimate
98,Size does not fit,27,High,VIP,1,457.15,Credit Card,No,Legitimate
99,Product not as described,275,High,Frequent,8,1413.77,Net Banking,No,Fraud
100,Changed my mind,253,High,Returning,6,389.31,Cash on Delivery,Yes,Legitimate
101,Size does not fit,232,Medium,Frequent,0,572.85,UPI,No,Legitimate
102,Missing parts,295,Medium,Frequent,5,1108.32,Cash on Delivery,No,Fraud
103,Defective after one use,116,High,Returning,9,772.11,Net Banking,Yes,Fraud
104,Missing parts,215,Medium,Returning,7,1930.0,Debit Card,No,Legitimate
105,Missing parts,71,High,VIP,0,1447.66,Net Banking,Yes,Legitimate
106,Missing parts,155,Medium,VIP,10,169.83,UPI,No,Fraud
107,Missing parts,297,Low,New,3,1266.01,UPI,Yes,Legitimate
108,Color mismatch,70,High,New,7,341.07,UPI,Yes,Legitimate
109,Defective after one use,48,Medium,Frequent,5,867.07,Debit Card,No,Legitimate
110,Product not as described,109,Low,VIP,9,1369.44,Net Banking,Yes,Legitimate
111,Missing parts,150,Medium,Frequent,10,28.7,Net Banking,No,Legitimate
112,Wrong product received,246,Medium,Frequent,10,1924.44,UPI,No,Fraud
113,Changed my mind,216,Medium,New,3,768.91,UPI,No,Fraud
114,Item arrived damaged,222,Medium,New,9,1731.48,Credit Card,No,Fraud
115,Changed my mind,200,Low,Returning,9,508.75,Debit Card,Yes,Legitimate
116,Size does not fit,245,Low,Frequent,2,189.37,UPI,No,Fraud
117,Product not as described,122,Low,Frequent,8,1008.57,UPI,Yes,Fraud
118,Missing parts,171,High,Frequent,1,941.98,Credit Card,Yes,Legitimate
119,Color mismatch,207,Low,VIP,0,536.27,Credit Card,No,Fraud
120,Size does not fit,215,High,Frequent,1,1352.92,Net Banking,Yes,Fraud
121,Package was empty,133,High,New,10,1649.47,UPI,No,Legitimate
122,Product not as described,43,Low,Frequent,7,241.08,Debit Card,Yes,Fraud
123,Missing parts,209,High,VIP,9,1487.12,Debit Card,No,Legitimate
124,Missing parts,228,Medium,New,5,442.37,Net Banking,Yes,Fraud
125,Wrong product received,208,High,Frequent,0,802.3,Debit Card,Yes,Fraud
126,Wrong product received,128,High,New,0,1575.72,Debit Card,Yes,Legitimate
127,Wrong product received,126,High,Returning,3,663.83,Debit Card,Yes,Fraud
128,Product not as described,86,High,Frequent,2,228.75,Credit Card,Yes,Legitimate
129,Defective after one use,141,High,Frequent,0,356.75,Credit Card,Yes,Fraud
130,Fake product received,78,High,New,7,902.07,UPI,Yes,Fraud
131,Fake product received,133,High,New,10,1047.69,Net Banking,Yes,Legitimate
132,Missing parts,225,Medium,New,7,1427.68,Net Banking,Yes,Legitimate
133,Defective after one use,95,Low,Returning,4,1252.39,Cash on Delivery,No,Fraud
134,Package was empty,291,Medium,VIP,8,1214.8,Credit Card,Yes,Legitimate
135,Color mismatch,251,Low,VIP,5,1656.56,Net Banking,No,Legitimate
136,Defective after one use,238,Medium,Frequent,5,1907.65,Net Banking,Yes,Legitimate
137,Wrong product received,67,Medium,New,5,1625.42,Cash on Delivery,Yes,Fraud
138,Wrong product received,230,Medium,VIP,0,1937.11,Cash on Delivery,No,Fraud
139,Wrong product received,279,Low,Returning,10,969.56,Credit Card,No,Fraud
140,Wrong product received,162,High,Returning,6,1691.86,Cash on Delivery,Yes,Fraud
141,Item arrived damaged,112,Medium,Frequent,5,708.54,Debit Card,Yes,Fraud
142,Wrong product received,92,High,New,1,1494.76,Debit Card,No,Fraud
143,Missing parts,194,Low,Frequent,4,1445.98,Cash on Delivery,Yes,Legitimate
144,Product not as described,100,High,New,10,172.35,Net Banking,No,Fraud
145,Package was empty,246,Medium,Frequent,3,1512.34,Credit Card,No,Fraud
146,Wrong product received,165,High,VIP,8,1337.59,Credit Card,Yes,Fraud
147,Package was empty,48,Low,Returning,4,1891.19,Debit Card,No,Fraud
148,Defective after one use,81,Low,VIP,6,359.63,Net Banking,Yes,Fraud
149,Wrong product received,223,High,New,6,47.3,Credit Card,No,Fraud
150,Package was empty,227,High,VIP,4,239.2,Credit Card,No,Legitimate
151,Package was empty,255,High,Frequent,1,879.06,Credit Card,Yes,Fraud
152,Package was empty,225,High,New,6,1742.34,UPI,Yes,Fraud
153,Product not as described,59,High,New,8,1024.8,UPI,No,Legitimate
154,Changed my mind,72,Low,Frequent,3,355.26,Debit Card,Yes,Legitimate
155,Missing parts,257,High,VIP,10,1849.07,Cash on Delivery,No,Fraud
156,Product not as described,245,Low,VIP,7,1266.46,UPI,Yes,Fraud
157,Fake product received,57,Medium,VIP,7,84.84,UPI,No,Legitimate
158,Wrong product received,279,Medium,VIP,9,1113.09,Credit Card,No,Legitimate
159,Defective after one use,263,High,Returning,0,906.54,UPI,Yes,Legitimate
160,Item arrived damaged,146,High,VIP,7,1052.9,Cash on Delivery,Yes,Fraud
161,Defective after one use,164,Medium,VIP,5,1361.01,Credit Card,No,Legitimate
162,Defective after one use,68,High,VIP,4,511.47,Cash on Delivery,Yes,Fraud
163,Wrong product received,92,Medium,Frequent,10,1399.98,Net Banking,Yes,Legitimate
164,Size does not fit,212,High,Frequent,2,1343.53,Cash on Delivery,Yes,Fraud
165,Fake product received,205,Low,Frequent,4,368.72,Debit Card,No,Fraud
166,Changed my mind,135,Low,Returning,1,598.63,Credit Card,Yes,Fraud
167,Package was empty,87,High,VIP,2,332.87,Cash on Delivery,Yes,Fraud
168,Item arrived damaged,230,Medium,Returning,7,1225.08,Net Banking,Yes,Legitimate
169,Size does not fit,260,Low,Frequent,10,1894.79,Net Banking,No,Fraud
170,Color mismatch,277,High,VIP,2,1635.61,Cash on Delivery,Yes,Fraud
171,Item arrived damaged,266,Medium,New,8,1703.82,UPI,Yes,Legitimate
172,Size does not fit,250,High,Returning,6,192.51,Debit Card,No,Fraud
173,Item arrived damaged,232,Low,VIP,8,754.18,Net Banking,Yes,Fraud
174,Changed my mind,34,Medium,New,10,677.23,Debit Card,Yes,Legitimate
175,Size does not fit,261,High,Returning,7,902.72,Credit Card,Yes,Legitimate
176,Size does not fit,130,Low,VIP,1,1554.58,Debit Card,No,Legitimate
177,Item arrived damaged,142,Medium,VIP,1,230.61,Net Banking,Yes,Legitimate
178,Product not as described,169,Medium,New,9,712.1,Cash on Delivery,No,Legitimate
179,Wrong product received,288,Medium,New,8,1092.72,Cash on Delivery,Yes,Fraud
180,Missing parts,42,High,VIP,5,514.76,Credit Card,No,Legitimate
181,Defective after one use,143,High,New,9,1473.02,UPI,Yes,Legitimate
182,Defective after one use,299,Medium,Returning,10,934.6,Net Banking,Yes,Legitimate
183,Wrong product received,254,Low,Frequent,3,97.17,Debit Card,Yes,Fraud
184,Size does not fit,283,Medium,VIP,4,82.88,Debit Card,No,Fraud
185,Item arrived damaged,189,Medium,New,5,879.53,Net Banking,No,Fraud
186,Defective after one use,115,Medium,VIP,5,1849.38,Cash on Delivery,No,Legitimate
187,Color mismatch,60,Medium,Returning,8,594.6,Credit Card,Yes,Fraud
188,Size does not fit,176,Medium,VIP,2,1382.63,UPI,No,Legitimate
189,Defective after one use,242,Medium,New,1,1345.66,Net Banking,No,Legitimate
190,Item arrived damaged,93,High,VIP,0,261.2,Debit Card,No,Fraud
191,Color mismatch,36,High,Returning,10,905.35,UPI,No,Fraud
192,Wrong product received,90,High,Frequent,6,635.63,UPI,Yes,Legitimate
193,Item arrived damaged,115,Medium,VIP,8,244.34,UPI,No,Legitimate
194,Package was empty,166,High,VIP,3,254.05,Credit Card,No,Legitimate
195,Missing parts,64,High,Frequent,10,701.38,Credit Card,No,Fraud
196,Product not as described,109,Medium,Returning,1,1970.41,Debit Card,Yes,Fraud
197,Item arrived damaged,204,High,Frequent,7,1609.29,Cash on Delivery,Yes,Legitimate
198,Wrong product received,178,Medium,VIP,8,827.48,Net Banking,Yes,Legitimate
199,Defective after one use,57,Medium,VIP,10,1039.55,Debit Card,Yes,Legitimate
200,Color mismatch,277,Low,New,8,314.5,Debit Card,Yes,Fraud
201,Changed my mind,197,High,Frequent,1,508.7,Cash on Delivery,No,Legitimate
202,Size does not fit,293,Low,Returning,9,1883.8,Debit Card,Yes,Fraud
203,Package was empty,41,Low,New,0,1897.61,Cash on Delivery,No,Legitimate
204,Package was empty,233,High,New,7,1779.1,Cash on Delivery,No,Fraud
205,Missing parts,145,High,VIP,4,912.55,Credit Card,Yes,Fraud
206,Color mismatch,267,Medium,Returning,5,1217.25,UPI,No,Fraud
207,Color mismatch,86,Medium,New,5,491.06,Credit Card,No,Fraud
208,Changed my mind,92,Low,New,4,1891.32,Cash on Delivery,No,Legitimate
209,Product not as described,187,High,Frequent,3,1528.61,Net Banking,No,Fraud
210,Size does not fit,274,Low,New,6,1015.83,Debit Card,Yes,Fraud
211,Item arrived damaged,45,Medium,VIP,9,1765.86,Net Banking,No,Legitimate
212,Wrong product received,240,Low,Frequent,5,1530.07,UPI,Yes,Fraud
213,Item arrived damaged,119,Medium,Frequent,1,778.83,Net Banking,No,Legitimate
214,Product not as described,69,Medium,Frequent,5,1120.09,UPI,Yes,Legitimate
215,Package was empty,280,Medium,New,0,87.44,UPI,No,Fraud
216,Product not as described,283,Low,Frequent,9,643.87,Net Banking,No,Fraud
217,Fake product received,280,High,VIP,9,606.58,Credit Card,No,Fraud
218,Wrong product received,233,High,Frequent,10,63.03,Net Banking,No,Legitimate
219,Item arrived damaged,265,Low,VIP,2,1645.11,Debit Card,Yes,Legitimate
220,Changed my mind,29,Medium,Frequent,6,311.35,Debit Card,No,Fraud
221,Item arrived damaged,90,High,Returning,8,656.85,Net Banking,No,Fraud
222,Product not as described,255,High,Frequent,8,715.03,UPI,No,Legitimate
223,Changed my mind,162,High,Frequent,3,1883.56,UPI,No,Legitimate
224,Missing parts,182,Medium,Frequent,8,1868.06,UPI,No,Legitimate
225,Package was empty,298,Medium,VIP,5,1909.67,Debit Card,No,Legitimate
226,Size does not fit,60,Medium,VIP,10,520.32,Net Banking,Yes,Legitimate
227,Fake product received,158,High,Frequent,2,227.36,Cash on Delivery,Yes,Legitimate
228,Item arrived damaged,291,Low,Returning,0,209.39,UPI,No,Legitimate
229,Product not as described,22,High,Returning,6,1309.26,Net Banking,No,Legitimate
230,Size does not fit,184,Medium,New,1,1308.07,Debit Card,Yes,Legitimate
231,Color mismatch,110,Low,VIP,7,380.76,UPI,Yes,Legitimate
232,Size does not fit,74,Medium,Frequent,7,1978.31,Cash on Delivery,No,Legitimate
233,Fake product received,259,Medium,Returning,1,668.06,Net Banking,No,Legitimate
234,Item arrived damaged,192,Medium,Returning,2,1225.8,Net Banking,No,Fraud
235,Wrong product received,225,High,New,2,1963.55,Net Banking,No,Legitimate
236,Item arrived damaged,153,Medium,Returning,7,1509.98,UPI,No,Legitimate
237,Size does not fit,204,High,Returning,0,1338.89,Net Banking,No,Legitimate
238,Color mismatch,277,High,Frequent,1,1281.04,UPI,No,Legitimate
239,Changed my mind,88,Medium,Returning,7,1497.99,Cash on Delivery,No,Fraud
240,Fake product received,261,High,Returning,3,1363.88,Cash on Delivery,Yes,Fraud
241,Fake product received,205,Low,New,0,1659.26,Cash on Delivery,Yes,Legitimate
242,Product not as described,187,High,VIP,1,1363.79,Cash on Delivery,No,Legitimate
243,Fake product received,248,Low,VIP,2,1031.36,Net Banking,Yes,Fraud
244,Size does not fit,31,Medium,Frequent,0,1494.15,Cash on Delivery,Yes,Legitimate
245,Color mismatch,196,High,New,8,1988.31,Credit Card,No,Legitimate
246,Size does not fit,229,Low,Returning,10,1956.88,Net Banking,No,Fraud
247,Missing parts,213,Medium,New,10,1928.65,Cash on Delivery,Yes,Fraud
248,Wrong product received,111,High,VIP,8,263.42,Debit Card,Yes,Legitimate
249,Size does not fit,257,High,VIP,8,764.76,Debit Card,Yes,Fraud
250,Defective after one use,99,Medium,Returning,1,74.11,Net Banking,Yes,Legitimate
251,Changed my mind,54,Low,New,7,1199.59,Credit Card,Yes,Legitimate
252,Color mismatch,244,Low,Returning,0,288.87,UPI,Yes,Fraud
253,Package was empty,184,Low,Frequent,2,1971.53,Cash on Delivery,Yes,Fraud
254,Size does not fit,160,Low,Returning,10,1360.71,Cash on Delivery,No,Legitimate
255,Defective after one use,215,High,Frequent,6,822.44,UPI,No,Legitimate
256,Fake product received,262,Low,Returning,4,1716.51,Debit Card,No,Legitimate
257,Fake product received,231,Medium,Returning,6,493.29,Debit Card,No,Legitimate
258,Missing parts,209,Low,Returning,0,544.24,Cash on Delivery,Yes,Legitimate
259,Changed my mind,131,Medium,Returning,5,613.34,Credit Card,Yes,Legitimate
260,Wrong product received,265,Low,Returning,6,1831.1,Cash on Delivery,No,Fraud
261,Color mismatch,258,High,Frequent,4,530.51,Cash on Delivery,No,Fraud
262,Wrong product received,260,Medium,Returning,5,632.71,Credit Card,Yes,Legitimate
263,Item arrived damaged,153,High,VIP,4,313.3,UPI,Yes,Fraud
264,Package was empty,145,Medium,Frequent,4,1529.09,Net Banking,No,Fraud
265,Product not as described,200,Low,Returning,8,981.75,Cash on Delivery,Yes,Legitimate
266,Wrong product received,44,Low,VIP,2,1686.66,Debit Card,Yes,Legitimate
267,Item arrived damaged,131,High,VIP,5,130.3,Cash on Delivery,No,Fraud
268,Item arrived damaged,23,High,VIP,0,43.29,UPI,No,Legitimate
269,Fake product received,240,Low,New,1,1053.53,Debit Card,Yes,Fraud
270,Defective after one use,156,Medium,New,5,1919.0,Net Banking,Yes,Legitimate
271,Size does not fit,61,High,New,1,816.5,Net Banking,No,Legitimate
272,Item arrived damaged,107,Low,VIP,6,1293.37,UPI,Yes,Legitimate
273,Changed my mind,128,High,VIP,4,102.66,Credit Card,No,Legitimate
274,Product not as described,181,Low,Returning,9,296.94,Net Banking,Yes,Fraud
275,Product not as described,143,High,VIP,10,1794.09,UPI,No,Legitimate
276,Wrong product received,276,High,Frequent,0,204.39,Debit Card,Yes,Fraud
277,Package was empty,223,Medium,New,10,553.92,Net Banking,No,Legitimate
278,Defective after one use,212,Medium,Returning,10,1175.89,Net Banking,Yes,Fraud
279,Changed my mind,57,Low,Frequent,2,766.2,Debit Card,No,Fraud
280,Defective after one use,74,Low,New,4,895.02,UPI,Yes,Legitimate
281,Wrong product received,115,Medium,VIP,8,1113.93,Net Banking,Yes,Legitimate
282,Wrong product received,201,High,New,9,1200.11,UPI,No,Legitimate
283,Size does not fit,231,Medium,New,8,1811.36,Debit Card,Yes,Fraud
284,Product not as described,91,Medium,Frequent,4,991.32,Credit Card,Yes,Fraud
285,Size does not fit,235,Medium,VIP,1,728.64,Debit Card,No,Legitimate
286,Missing parts,74,Low,Frequent,0,1898.16,UPI,No,Fraud
287,Missing parts,191,Medium,Returning,4,648.12,Debit Card,No,Fraud
288,Product not as described,223,Medium,Frequent,10,987.1,Cash on Delivery,Yes,Fraud
289,Color mismatch,163,Medium,Frequent,1,1864.81,Debit Card,Yes,Legitimate
290,Missing parts,127,Medium,Frequent,1,1639.74,Net Banking,No,Legitimate
291,Size does not fit,143,Medium,Returning,6,1580.26,Credit Card,No,Fraud
292,Package was empty,225,High,VIP,8,83.16,UPI,Yes,Legitimate
293,Changed my mind,201,Low,New,9,1967.38,Net Banking,No,Fraud
294,Wrong product received,25,Low,Frequent,3,1026.25,Cash on Delivery,Yes,Fraud
295,Defective after one use,220,Medium,Returning,5,1995.43,Net Banking,Yes,Fraud
296,Color mismatch,63,Low,Returning,5,630.66,Net Banking,Yes,Fraud
297,Defective after one use,263,Low,VIP,7,644.63,UPI,Yes,Legitimate
298,Item arrived damaged,195,High,New,10,1602.1,Debit Card,Yes,Legitimate
299,Defective after one use,238,Medium,Returning,6,1263.22,Debit Card,No,Fraud
300,Item arrived damaged,121,Medium,VIP,6,18.86,Debit Card,Yes,Fraud
301,Wrong product received,72,High,Returning,5,658.71,Net Banking,Yes,Fraud
302,Missing parts,290,High,Frequent,9,783.39,Net Banking,Yes,Fraud
303,Defective after one use,254,High,Returning,10,1414.92,UPI,Yes,Legitimate
304,Defective after one use,80,Low,Frequent,1,374.26,Debit Card,No,Fraud
305,Package was empty,90,High,VIP,6,379.65,Cash on Delivery,Yes,Legitimate
306,Missing parts,167,Low,Returning,5,1685.55,Cash on Delivery,Yes,Fraud
307,Item arrived damaged,268,Low,Returning,6,1928.02,Cash on Delivery,No,Fraud
308,Missing parts,232,High,VIP,7,342.83,Cash on Delivery,Yes,Legitimate
309,Size does not fit,36,Medium,Returning,8,584.45,Net Banking,No,Legitimate
310,Package was empty,78,Medium,Frequent,8,1647.0,Credit Card,No,Legitimate
311,Color mismatch,72,High,Returning,4,1750.87,Credit Card,No,Fraud
312,Defective after one use,64,Medium,New,3,427.66,Cash on Delivery,No,Fraud
313,Product not as described,91,Low,Returning,0,1144.45,Cash on Delivery,No,Legitimate
314,Defective after one use,169,Medium,Frequent,8,1971.12,Credit Card,Yes,Fraud
315,Item arrived damaged,161,High,Returning,2,506.86,UPI,Yes,Fraud
316,Missing parts,92,High,Frequent,10,834.31,Net Banking,Yes,Legitimate
317,Color mismatch,283,High,Frequent,5,914.84,Net Banking,No,Legitimate
318,Wrong product received,254,High,Frequent,1,1593.4,Net Banking,Yes,Fraud
319,Changed my mind,273,Medium,Frequent,4,682.13,Cash on Delivery,Yes,Fraud
320,Defective after one use,44,Low,New,10,1569.94,Net Banking,Yes,Legitimate
321,Product not as described,245,Medium,New,6,412.61,Debit Card,No,Legitimate
322,Size does not fit,67,High,Frequent,4,174.02,Debit Card,Yes,Fraud
323,Size does not fit,139,Medium,New,1,12.16,Net Banking,Yes,Legitimate
324,Package was empty,135,High,VIP,0,26.04,UPI,Yes,Fraud
325,Product not as described,264,Low,Returning,6,187.77,Credit Card,Yes,Fraud
326,Defective after one use,173,Low,VIP,2,1286.74,Debit Card,Yes,Legitimate
327,Package was empty,104,Medium,Frequent,3,1259.88,Debit Card,No,Fraud
328,Changed my mind,64,Low,Returning,1,1183.25,Net Banking,No,Fraud
329,Defective after one use,91,Low,Frequent,10,177.65,Cash on Delivery,No,Legitimate
330,Size does not fit,125,High,Returning,6,598.13,Credit Card,Yes,Fraud
331,Color mismatch,77,Low,VIP,10,1191.92,Cash on Delivery,Yes,Fraud
332,Defective after one use,87,Medium,VIP,5,1097.25,Debit Card,No,Legitimate
333,Item arrived damaged,54,Low,Frequent,3,89.26,Credit Card,No,Fraud
334,Fake product received,232,Medium,VIP,1,1284.67,Cash on Delivery,Yes,Fraud
335,Wrong product received,178,Low,Returning,2,1077.42,Net Banking,Yes,Fraud
336,Color mismatch,142,Low,Returning,1,1850.01,Credit Card,No,Legitimate
337,Size does not fit,109,Low,New,2,1405.98,Debit Card,No,Fraud
338,Fake product received,284,High,Frequent,2,750.02,UPI,Yes,Legitimate
339,Defective after one use,239,Medium,New,4,1427.52,Cash on Delivery,Yes,Fraud
340,Missing parts,281,Medium,New,7,1720.13,Debit Card,No,Legitimate
341,Size does not fit,72,High,New,3,1484.15,Credit Card,Yes,Legitimate
342,Changed my mind,43,Medium,Frequent,6,1841.25,Debit Card,Yes,Fraud
343,Changed my mind,184,Low,VIP,5,549.8,Credit Card,No,Legitimate
344,Fake product received,46,Low,Returning,8,1963.01,Net Banking,Yes,Fraud
345,Size does not fit,179,Medium,New,8,918.92,UPI,Yes,Fraud
346,Package was empty,175,High,Returning,7,742.86,Net Banking,Yes,Legitimate
347,Product not as described,23,Medium,New,3,1087.67,Credit Card,No,Legitimate
348,Color mismatch,177,Low,Returning,8,1966.4,Net Banking,No,Legitimate
349,Product not as described,163,Low,New,3,1795.6,Cash on Delivery,No,Fraud
350,Missing parts,63,High,New,8,275.69,Net Banking,Yes,Legitimate
351,Color mismatch,86,Low,Frequent,4,1703.32,Net Banking,No,Fraud
352,Missing parts,159,Low,New,3,280.86,Cash on Delivery,Yes,Legitimate
353,Wrong product received,104,Medium,VIP,5,818.96,Cash on Delivery,No,Legitimate
354,Missing parts,177,Medium,Frequent,1,189.94,UPI,Yes,Legitimate
355,Defective after one use,95,Low,Returning,5,798.53,Credit Card,No,Fraud
