Claim_ID,Return_Description,Text_Length,Urgency_Level,Customer_Type,Previous_Return_Count,Claim_Amount,Payment_Method,Image_Provided,Fraud_Label,Return_Description_Clean,Description_Length,Description_Word_Count,Fraud_Keyword_Count,Urgency_Score
40,Defective after one use,95,Medium,Returning,0,623.43,Credit Card,No,Legitimate,Defective after one use,23,4,0,2
41,Changed my mind,72,Medium,VIP,9,1501.46,Debit Card,Yes,Legitimate,Changed my mind,15,3,0,2
42,Color mismatch,32,Low,Frequent,6,1606.45,Debit Card,No,Legitimate,Color mismatch,14,2,0,1
43,Wrong product received,215,Low,VIP,3,407.15,Net Banking,No,Fraud,Wrong product received,22,3,0,1
44,Changed my mind,134,Low,Returning,6,663.24,Credit Card,No,Fraud,Changed my mind,15,3,0,1
45,Fake product received,224,High,Frequent,0,239.53,UPI,Yes,Fraud,Fake product received,21,3,1,3
46,Item arrived damaged,75,High,VIP,5,1459.8,UPI,No,Legitimate,Item arrived damaged,20,3,0,3
47,Color mismatch,117,Medium,New,6,13.37,Cash on Delivery,Yes,Fraud,Color mismatch,14,2,0,2
48,Color mismatch,55,High,Frequent,9,634.69,Credit Card,No,Fraud,Color mismatch,14,2,0,3
49,Color mismatch,187,Medium,Frequent,8,263.3,Net Banking,No,Legitimate,Color mismatch,14,2,0,2
50,Package was empty,174,Medium,New,4,580.96,Net Banking,No,Fraud,Package was empty,17,3,0,2
51,Missing parts,246,High,Returning,8,951.64,Debit Card,Yes,Fraud,Missing parts,13,2,0,3
52,Fake product received,191,Low,Returning,10,627.73,Debit Card,Yes,Legitimate,Fake product received,21,3,1,1
53,Item arrived damaged,145,Medium,New,7,834.74,Cash on Delivery,Yes,Fraud,Item arrived damaged,20,3,0,2
54,Missing parts,224,Low,Returning,10,1378.37,Credit Card,No,Legitimate,Missing parts,13,2,0,1
55,Product not as described,285,Medium,New,8,505.9,Credit Card,No,Legitimate,Product not as described,24,4,0,2
56,Missing parts,291,High,Frequent,7,1229.18,Cash on Delivery,No,Fraud,Missing parts,13,2,0,3
57,Product not as described,263,Medium,Frequent,3,1681.33,UPI,No,Legitimate,Product not as described,24,4,0,2
58,Size does not fit,245,Low,Frequent,3,550.71,UPI,Yes,Legitimate,Size does not fit,17,4,0,1
59,Product not as described,138,Medium,Returning,3,137.82,Net Banking,No,Fraud,Product not as described,24,4,0,2
60,Color mismatch,51,Low,VIP,6,1810.63,Cash on Delivery,Yes,Fraud,Color mismatch,14,2,0,1
61,Missing parts,23,Medium,Frequent,6,1708.36,Net Banking,Yes,Fraud,Missing parts,13,2,0,2
62,Changed my mind,159,Medium,VIP,0,783.83,Net Banking,Yes,Fraud,Changed my mind,15,3,0,2
63,Product not as described,293,Low,VIP,9,1133.14,Credit Card,Yes,Fraud,Product not as described,24,4,0,1
64,Product not as described,256,Low,New,4,764.42,Debit Card,No,Fraud,Product not as described,24,4,0,1
65,Defective after one use,214,Medium,VIP,4,1671.47,Net Banking,Yes,Legitimate,Defective after one use,23,4,0,2
66,Defective after one use,134,High,New,10,90.11,Credit Card,Yes,Legitimate,Defective after one use,23,4,0,3
67,Item arrived damaged,98,Low,Returning,7,1342.22,Cash on Delivery,Yes,Fraud,Item arrived damaged,20,3,0,1
68,Size does not fit,208,Low,New,2,1929.79,Credit Card,Yes,Fraud,Size does not fit,17,4,0,1
69,Package was empty,212,Medium,Returning,1,1188.27,Debit Card,Yes,Fraud,Package was empty,17,3,0,2
70,Package was empty,81,High,New,5,1070.16,UPI,Yes,Fraud,Package was empty,17,3,0,3
71,Item arrived damaged,235,Medium,New,6,1921.97,Net Banking,Yes,Fraud,Item arrived damaged,20,3,0,2
72,Product not as described,287,High,Frequent,9,1618.32,Cash on Delivery,No,Fraud,Product not as described,24,4,0,3
73,Color mismatch,157,Medium,Returning,1,565.07,Net Banking,Yes,Fraud,Color mismatch,14,2,0,2
74,Package was empty,214,Medium,New,7,1703.4,Debit Card,No,Legitimate,Package was empty,17,3,0,2
75,Defective after one use,152,Medium,Frequent,9,1405.36,UPI,Yes,Legitimate,Defective after one use,23,4,0,2
76,Wrong product received,143,High,VIP,7,1114.8,Debit Card,No,Fraud,Wrong product received,22,3,0,3
77,Missing parts,28,Low,Frequent,3,814.76,Debit Card,No,Fraud,Missing parts,13,2,0,1
78,Missing parts,291,Medium,VIP,8,668.27,Net Banking,No,Fraud,Missing parts,13,2,0,2
79,Size does not fit,138,Low,Returning,5,247.91,Cash on Delivery,Yes,Legitimate,Size does not fit,17,4,0,1
80,Changed my mind,267,Medium,Frequent,1,1666.93,UPI,Yes,Fraud,Changed my mind,15,3,0,2
81,Product not as described,174,Low,Returning,4,100.58,Credit Card,No,Legitimate,Product not as described,24,4,0,1
82,Missing parts,72,Low,Frequent,7,962.64,UPI,Yes,Legitimate,Missing parts,13,2,0,1
83,Size does not fit,264,Low,New,6,988.58,Cash on Delivery,Yes,Legitimate,Size does not fit,17,4,0,1
84,Product not as described,175,Low,Returning,1,1120.57,Net Banking,Yes,Fraud,Product not as described,24,4,0,1
85,Missing parts,246,Medium,VIP,4,1141.57,Credit Card,Yes,Legitimate,Missing parts,13,2,0,2
86,Changed my mind,155,High,New,2,487.33,Cash on Delivery,Yes,Legitimate,Changed my mind,15,3,0,3
87,Item arrived damaged,229,Medium,VIP,4,74.95,UPI,No,Fraud,Item arrived damaged,20,3,0,2
88,Wrong product received,139,Medium,Returning,6,238.4,Debit Card,Yes,Fraud,Wrong product received,22,3,0,2
89,Product not as described,56,Low,Returning,4,1194.14,Cash on Delivery,No,Fraud,Product not as described,24,4,0,1
90,Wrong product received,259,High,Frequent,6,1885.93,Cash on Delivery,No,Fraud,Wrong product received,22,3,0,3
91,Wrong product received,40,Medium,Frequent,9,508.23,Credit Card,Yes,Legitimate,Wrong product received,22,3,0,2
92,Size does not fit,40,Low,VIP,8,1306.5,UPI,Yes,Fraud,Size does not fit,17,4,0,1
93,Missing parts,66,Medium,Frequent,6,673.28,Credit Card,Yes,Fraud,Missing parts,13,2,0,2
94,Color mismatch,273,Medium,VIP,8,83.03,Credit Card,No,Fraud,Color mismatch,14,2,0,2
95,Defective after one use,79,Medium,New,10,1740.04,Net Banking,No,Legitimate,Defective after one use,23,4,0,2
96,Changed my mind,285,Medium,VIP,10,889.66,Credit Card,Yes,Fraud,Changed my mind,15,3,0,2
97,Fake product received,87,Medium,VIP,7,251.64,Cash on Delivery,Yes,Legitimate,Fake product received,21,3,1,2
98,Size does not fit,27,High,VIP,1,457.15,Credit Card,No,Legitimate,Size does not fit,17,4,0,3
99,Product not as described,275,High,Frequent,8,1413.77,Net Banking,No,Fraud,Product not as described,24,4,0,3
100,Changed my mind,253,High,Returning,6,389.31,Cash on Delivery,Yes,Legitimate,Changed my mind,15,3,0,3
101,Size does not fit,232,Medium,Frequent,0,572.85,UPI,No,Legitimate,Size does not fit,17,4,0,2
102,Missing parts,295,Medium,Frequent,5,1108.32,Cash on Delivery,No,Fraud,Missing parts,13,2,0,2
103,Defective after one use,116,High,Returning,9,772.11,Net Banking,Yes,Fraud,Defective after one use,23,4,0,3
104,Missing parts,215,Medium,Returning,7,1930.0,Debit Card,No,Legitimate,Missing parts,13,2,0,2
105,Missing parts,71,High,VIP,0,1447.66,Net Banking,Yes,Legitimate,Missing parts,13,2,0,3
106,Missing parts,155,Medium,VIP,10,169.83,UPI,No,Fraud,Missing parts,13,2,0,2
107,Missing parts,297,Low,New,3,1266.01,UPI,Yes,Legitimate,Missing parts,13,2,0,1
108,Color mismatch,70,High,New,7,341.07,UPI,Yes,Legitimate,Color mismatch,14,2,0,3
109,Defective after one use,48,Medium,Frequent,5,867.07,Debit Card,No,Legitimate,Defective after one use,23,4,0,2
110,Product not as described,109,Low,VIP,9,1369.44,Net Banking,Yes,Legitimate,Product not as described,24,4,0,1
111,Missing parts,150,Medium,Frequent,10,28.7,Net Banking,No,Legitimate,Missing parts,13,2,0,2
112,Wrong product received,246,Medium,Frequent,10,1924.44,UPI,No,Fraud,Wrong product received,22,3,0,2
113,Changed my mind,216,Medium,New,3,768.91,UPI,No,Fraud,Changed my mind,15,3,0,2
114,Item arrived damaged,222,Medium,New,9,1731.48,Credit Card,No,Fraud,Item arrived damaged,20,3,0,2
115,Changed my mind,200,Low,Returning,9,508.75,Debit Card,Yes,Legitimate,Changed my mind,15,3,0,1
116,Size does not fit,245,Low,Frequent,2,189.37,UPI,No,Fraud,Size does not fit,17,4,0,1
117,Product not as described,122,Low,Frequent,8,1008.57,UPI,Yes,Fraud,Product not as described,24,4,0,1
118,Missing parts,171,High,Frequent,1,941.98,Credit Card,Yes,Legitimate,Missing parts,13,2,0,3
119,Color mismatch,207,Low,VIP,0,536.27,Credit Card,No,Fraud,Color mismatch,14,2,0,1
120,Size does not fit,215,High,Frequent,1,1352.92,Net Banking,Yes,Fraud,Size does not fit,17,4,0,3
121,Package was empty,133,High,New,10,1649.47,UPI,No,Legitimate,Package was empty,17,3,0,3
122,Product not as described,43,Low,Frequent,7,241.08,Debit Card,Yes,Fraud,Product not as described,24,4,0,1
123,Missing parts,209,High,VIP,9,1487.12,Debit Card,No,Legitimate,Missing parts,13,2,0,3
124,Missing parts,228,Medium,New,5,442.37,Net Banking,Yes,Fraud,Missing parts,13,2,0,2
125,Wrong product received,208,High,Frequent,0,802.3,Debit Card,Yes,Fraud,Wrong product received,22,3,0,3
126,Wrong product received,128,High,New,0,1575.72,Debit Card,Yes,Legitimate,Wrong product received,22,3,0,3
127,Wrong product received,126,High,Returning,3,663.83,Debit Card,Yes,Fraud,Wrong product received,22,3,0,3
128,Product not as described,86,High,Frequent,2,228.75,Credit Card,Yes,Legitimate,Product not as described,24,4,0,3
129,Defective after one use,141,High,Frequent,0,356.75,Credit Card,Yes,Fraud,Defective after one use,23,4,0,3
130,Fake product received,78,High,New,7,902.07,UPI,Yes,Fraud,Fake product received,21,3,1,3
131,Fake product received,133,High,New,10,1047.69,Net Banking,Yes,Legitimate,Fake product received,21,3,1,3
132,Missing parts,225,Medium,New,7,1427.68,Net Banking,Yes,Legitimate,Missing parts,13,2,0,2
133,Defective after one use,95,Low,Returning,4,1252.39,Cash on Delivery,No,Fraud,Defective after one use,23,4,0,1
134,Package was empty,291,Medium,VIP,8,1214.8,Credit Card,Yes,Legitimate,Package was empty,17,3,0,2
135,Color mismatch,251,Low,VIP,5,1656.56,Net Banking,No,Legitimate,Color mismatch,14,2,0,1
136,Defective after one use,238,Medium,Frequent,5,1907.65,Net Banking,Yes,Legitimate,Defective after one use,23,4,0,2
137,Wrong product received,67,Medium,New,5,1625.42,Cash on Delivery,Yes,Fraud,Wrong product received,22,3,0,2
138,Wrong product received,230,Medium,VIP,0,1937.11,Cash on Delivery,No,Fraud,Wrong product received,22,3,0,2
139,Wrong product received,279,Low,Returning,10,969.56,Credit Card,No,Fraud,Wrong product received,22,3,0,1
140,Wrong product received,162,High,Returning,6,1691.86,Cash on Delivery,Yes,Fraud,Wrong product received,22,3,0,3
141,Item arrived damaged,112,Medium,Frequent,5,708.54,Debit Card,Yes,Fraud,Item arrived damaged,20,3,0,2
142,Wrong product received,92,High,New,1,1494.76,Debit Card,No,Fraud,Wrong product received,22,3,0,3
143,Missing parts,194,Low,Frequent,4,1445.98,Cash on Delivery,Yes,Legitimate,Missing parts,13,2,0,1
144,Product not as described,100,High,New,10,172.35,Net Banking,No,Fraud,Product not as described,24,4,0,3
145,Package was empty,246,Medium,Frequent,3,1512.34,Credit Card,No,Fraud,Package was empty,17,3,0,2
146,Wrong product received,165,High,VIP,8,1337.59,Credit Card,Yes,Fraud,Wrong product received,22,3,0,3
147,Package was empty,48,Low,Returning,4,1891.19,Debit Card,No,Fraud,Package was empty,17,3,0,1
148,Defective after one use,81,Low,VIP,6,359.63,Net Banking,Yes,Fraud,Defective after one use,23,4,0,1
149,Wrong product received,223,High,New,6,47.3,Credit Card,No,Fraud,Wrong product received,22,3,0,3
150,Package was empty,227,High,VIP,4,239.2,Credit Card,No,Legitimate,Package was empty,17,3,0,3
151,Package was empty,255,High,Frequent,1,879.06,Credit Card,Yes,Fraud,Package was empty,17,3,0,3
152,Package was empty,225,High,New,6,1742.34,UPI,Yes,Fraud,Package was empty,17,3,0,3
153,Product not as described,59,High,New,8,1024.8,UPI,No,Legitimate,Product not as described,24,4,0,3
154,Changed my mind,72,Low,Frequent,3,355.26,Debit Card,Yes,Legitimate,Changed my mind,15,3,0,1
155,Missing parts,257,High,VIP,10,1849.07,Cash on Delivery,No,Fraud,Missing parts,13,2,0,3
156,Product not as described,245,Low,VIP,7,1266.46,UPI,Yes,Fraud,Product not as described,24,4,0,1
157,Fake product received,57,Medium,VIP,7,84.84,UPI,No,Legitimate,Fake product received,21,3,1,2
158,Wrong product received,279,Medium,VIP,9,1113.09,Credit Card,No,Legitimate,Wrong product received,22,3,0,2
159,Defective after one use,263,High,Returning,0,906.54,UPI,Yes,Legitimate,Defective after one use,23,4,0,3
160,Item arrived damaged,146,High,VIP,7,1052.9,Cash on Delivery,Yes,Fraud,Item arrived damaged,20,3,0,3
161,Defective after one use,164,Medium,VIP,5,1361.01,Credit Card,No,Legitimate,Defective after one use,23,4,0,2
162,Defective after one use,68,High,VIP,4,511.47,Cash on Delivery,Yes,Fraud,Defective after one use,23,4,0,3
163,Wrong product received,92,Medium,Frequent,10,1399.98,Net Banking,Yes,Legitimate,Wrong product received,22,3,0,2
164,Size does not fit,212,High,Frequent,2,1343.53,Cash on Delivery,Yes,Fraud,Size does not fit,17,4,0,3
165,Fake product received,205,Low,Frequent,4,368.72,Debit Card,No,Fraud,Fake product received,21,3,1,1
166,Changed my mind,135,Low,Returning,1,598.63,Credit Card,Yes,Fraud,Changed my mind,15,3,0,1
167,Package was empty,87,High,VIP,2,332.87,Cash on Delivery,Yes,Fraud,Package was empty,17,3,0,3
168,Item arrived damaged,230,Medium,Returning,7,1225.08,Net Banking,Yes,Legitimate,Item arrived damaged,20,3,0,2
169,Size does not fit,260,Low,Frequent,10,1894.79,Net Banking,No,Fraud,Size does not fit,17,4,0,1
170,Color mismatch,277,High,VIP,2,1635.61,Cash on Delivery,Yes,Fraud,Color mismatch,14,2,0,3
171,Item arrived damaged,266,Medium,New,8,1703.82,UPI,Yes,Legitimate,Item arrived damaged,20,3,0,2
172,Size does not fit,250,High,Returning,6,192.51,Debit Card,No,Fraud,Size does not fit,17,4,0,3
173,Item arrived damaged,232,Low,VIP,8,754.18,Net Banking,Yes,Fraud,Item arrived damaged,20,3,0,1
174,Changed my mind,34,Medium,New,10,677.23,Debit Card,Yes,Legitimate,Changed my mind,15,3,0,2
175,Size does not fit,261,High,Returning,7,902.72,Credit Card,Yes,Legitimate,Size does not fit,17,4,0,3
176,Size does not fit,130,Low,VIP,1,1554.58,Debit Card,No,Legitimate,Size does not fit,17,4,0,1
177,Item arrived damaged,142,Medium,VIP,1,230.61,Net Banking,Yes,Legitimate,Item arrived damaged,20,3,0,2
178,Product not as described,169,Medium,New,9,712.1,Cash on Delivery,No,Legitimate,Product not as described,24,4,0,2
179,Wrong product received,288,Medium,New,8,1092.72,Cash on Delivery,Yes,Fraud,Wrong product received,22,3,0,2
180,Missing parts,42,High,VIP,5,514.76,Credit Card,No,Legitimate,Missing parts,13,2,0,3
181,Defective after one use,143,High,New,9,1473.02,UPI,Yes,Legitimate,Defective after one use,23,4,0,3
182,Defective after one use,299,Medium,Returning,10,934.6,Net Banking,Yes,Legitimate,Defective after one use,23,4,0,2
183,Wrong product received,254,Low,Frequent,3,97.17,Debit Card,Yes,Fraud,Wrong product received,22,3,0,1
184,Size does not fit,283,Medium,VIP,4,82.88,Debit Card,No,Fraud,Size does not fit,17,4,0,2
185,Item arrived damaged,189,Medium,New,5,879.53,Net Banking,No,Fraud,Item arrived damaged,20,3,0,2
186,Defective after one use,115,Medium,VIP,5,1849.38,Cash on Delivery,No,Legitimate,Defective after one use,23,4,0,2
187,Color mismatch,60,Medium,Returning,8,594.6,Credit Card,Yes,Fraud,Color mismatch,14,2,0,2
188,Size does not fit,176,Medium,VIP,2,1382.63,UPI,No,Legitimate,Size does not fit,17,4,0,2
189,Defective after one use,242,Medium,New,1,1345.66,Net Banking,No,Legitimate,Defective after one use,23,4,0,2
190,Item arrived damaged,93,High,VIP,0,261.2,Debit Card,No,Fraud,Item arrived damaged,20,3,0,3
191,Color mismatch,36,High,Returning,10,905.35,UPI,No,Fraud,Color mismatch,14,2,0,3
192,Wrong product received,90,High,Frequent,6,635.63,UPI,Yes,Legitimate,Wrong product received,22,3,0,3
193,Item arrived damaged,115,Medium,VIP,8,244.34,UPI,No,Legitimate,Item arrived damaged,20,3,0,2
194,Package was empty,166,High,VIP,3,254.05,Credit Card,No,Legitimate,Package was empty,17,3,0,3
195,Missing parts,64,High,Frequent,10,701.38,Credit Card,No,Fraud,Missing parts,13,2,0,3
196,Product not as described,109,Medium,Returning,1,1970.41,Debit Card,Yes,Fraud,Product not as described,24,4,0,2
197,Item arrived damaged,204,High,Frequent,7,1609.29,Cash on Delivery,Yes,Legitimate,Item arrived damaged,20,3,0,3
198,Wrong product received,178,Medium,VIP,8,827.48,Net Banking,Yes,Legitimate,Wrong product received,22,3,0,2
199,Defective after one use,57,Medium,VIP,10,1039.55,Debit Card,Yes,Legitimate,Defective after one use,23,4,0,2
200,Color mismatch,277,Low,New,8,314.5,Debit Card,Yes,Fraud,Color mismatch,14,2,0,1
201,Changed my mind,197,High,Frequent,1,508.7,Cash on Delivery,No,Legitimate,Changed my mind,15,3,0,3
202,Size does not fit,293,Low,Returning,9,1883.8,Debit Card,Yes,Fraud,Size does not fit,17,4,0,1
203,Package was empty,41,Low,New,0,1897.61,Cash on Delivery,No,Legitimate,Package was empty,17,3,0,1
204,Package was empty,233,High,New,7,1779.1,Cash on Delivery,No,Fraud,Package was empty,17,3,0,3
205,Missing parts,145,High,VIP,4,912.55,Credit Card,Yes,Fraud,Missing parts,13,2,0,3
206,Color mismatch,267,Medium,Returning,5,1217.25,UPI,No,Fraud,Color mismatch,14,2,0,2
207,Color mismatch,86,Medium,New,5,491.06,Credit Card,No,Fraud,Color mismatch,14,2,0,2
208,Changed my mind,92,Low,New,4,1891.32,Cash on Delivery,No,Legitimate,Changed my mind,15,3,0,1
209,Product not as described,187,High,Frequent,3,1528.61,Net Banking,No,Fraud,Product not as described,24,4,0,3
210,Size does not fit,274,Low,New,6,1015.83,Debit Card,Yes,Fraud,Size does not fit,17,4,0,1
211,Item arrived damaged,45,Medium,VIP,9,1765.86,Net Banking,No,Legitimate,Item arrived damaged,20,3,0,2
212,Wrong product received,240,Low,Frequent,5,1530.07,UPI,Yes,Fraud,Wrong product received,22,3,0,1
213,Item arrived damaged,119,Medium,Frequent,1,778.83,Net Banking,No,Legitimate,Item arrived damaged,20,3,0,2
214,Product not as described,69,Medium,Frequent,5,1120.09,UPI,Yes,Legitimate,Product not as described,24,4,0,2
215,Package was empty,280,Medium,New,0,87.44,UPI,No,Fraud,Package was empty,17,3,0,2
216,Product not as described,283,Low,Frequent,9,643.87,Net Banking,No,Fraud,Product not as described,24,4,0,1
217,Fake product received,280,High,VIP,9,606.58,Credit Card,No,Fraud,Fake product received,21,3,1,3
218,Wrong product received,233,High,Frequent,10,63.03,Net Banking,No,Legitimate,Wrong product received,22,3,0,3
219,Item arrived damaged,265,Low,VIP,2,1645.11,Debit Card,Yes,Legitimate,Item arrived damaged,20,3,0,1
220,Changed my mind,29,Medium,Frequent,6,311.35,Debit Card,No,Fraud,Changed my mind,15,3,0,2
221,Item arrived damaged,90,High,Returning,8,656.85,Net Banking,No,Fraud,Item arrived damaged,20,3,0,3
222,Product not as described,255,High,Frequent,8,715.03,UPI,No,Legitimate,Product not as described,24,4,0,3
223,Changed my mind,162,High,Frequent,3,1883.56,UPI,No,Legitimate,Changed my mind,15,3,0,3
224,Missing parts,182,Medium,Frequent,8,1868.06,UPI,No,Legitimate,Missing parts,13,2,0,2
225,Package was empty,298,Medium,VIP,5,1909.67,Debit Card,No,Legitimate,Package was empty,17,3,0,2
226,Size does not fit,60,Medium,VIP,10,520.32,Net Banking,Yes,Legitimate,Size does not fit,17,4,0,2
227,Fake product received,158,High,Frequent,2,227.36,Cash on Delivery,Yes,Legitimate,Fake product received,21,3,1,3
228,Item arrived damaged,291,Low,Returning,0,209.39,UPI,No,Legitimate,Item arrived damaged,20,3,0,1
229,Product not as described,22,High,Returning,6,1309.26,Net Banking,No,Legitimate,Product not as described,24,4,0,3
230,Size does not fit,184,Medium,New,1,1308.07,Debit Card,Yes,Legitimate,Size does not fit,17,4,0,2
231,Color mismatch,110,Low,VIP,7,380.76,UPI,Yes,Legitimate,Color mismatch,14,2,0,1
232,Size does not fit,74,Medium,Frequent,7,1978.31,Cash on Delivery,No,Legitimate,Size does not fit,17,4,0,2
233,Fake product received,259,Medium,Returning,1,668.06,Net Banking,No,Legitimate,Fake product received,21,3,1,2
234,Item arrived damaged,192,Medium,Returning,2,1225.8,Net Banking,No,Fraud,Item arrived damaged,20,3,0,2
235,Wrong product received,225,High,New,2,1963.55,Net Banking,No,Legitimate,Wrong product received,22,3,0,3
236,Item arrived damaged,153,Medium,Returning,7,1509.98,UPI,No,Legitimate,Item arrived damaged,20,3,0,2
237,Size does not fit,204,High,Returning,0,1338.89,Net Banking,No,Legitimate,Size does not fit,17,4,0,3
238,Color mismatch,277,High,Frequent,1,1281.04,UPI,No,Legitimate,Color mismatch,14,2,0,3
239,Changed my mind,88,Medium,Returning,7,1497.99,Cash on Delivery,No,Fraud,Changed my mind,15,3,0,2
240,Fake product received,261,High,Returning,3,1363.88,Cash on Delivery,Yes,Fraud,Fake product received,21,3,1,3
241,Fake product received,205,Low,New,0,1659.26,Cash on Delivery,Yes,Legitimate,Fake product received,21,3,1,1
242,Product not as described,187,High,VIP,1,1363.79,Cash on Delivery,No,Legitimate,Product not as described,24,4,0,3
243,Fake product received,248,Low,VIP,2,1031.36,Net Banking,Yes,Fraud,Fake product received,21,3,1,1
244,Size does not fit,31,Medium,Frequent,0,1494.15,Cash on Delivery,Yes,Legitimate,Size does not fit,17,4,0,2
245,Color mismatch,196,High,New,8,1988.31,Credit Card,No,Legitimate,Color mismatch,14,2,0,3
246,Size does not fit,229,Low,Returning,10,1956.88,Net Banking,No,Fraud,Size does not fit,17,4,0,1
247,Missing parts,213,Medium,New,10,1928.65,Cash on Delivery,Yes,Fraud,Missing parts,13,2,0,2
248,Wrong product received,111,High,VIP,8,263.42,Debit Card,Yes,Legitimate,Wrong product received,22,3,0,3
249,Size does not fit,257,High,VIP,8,764.76,Debit Card,Yes,Fraud,Size does not fit,17,4,0,3
250,Defective after one use,99,Medium,Returning,1,74.11,Net Banking,Yes,Legitimate,Defective after one use,23,4,0,2
251,Changed my mind,54,Low,New,7,1199.59,Credit Card,Yes,Legitimate,Changed my mind,15,3,0,1
252,Color mismatch,244,Low,Returning,0,288.87,UPI,Yes,Fraud,Color mismatch,14,2,0,1
253,Package was empty,184,Low,Frequent,2,1971.53,Cash on Delivery,Yes,Fraud,Package was empty,17,3,0,1
254,Size does not fit,160,Low,Returning,10,1360.71,Cash on Delivery,No,Legitimate,Size does not fit,17,4,0,1
255,Defective after one use,215,High,Frequent,6,822.44,UPI,No,Legitimate,Defective after one use,23,4,0,3
256,Fake product received,262,Low,Returning,4,1716.51,Debit Card,No,Legitimate,Fake product received,21,3,1,1
